entryid,gridref,datestamp,transcription
"""57e512c52c66dc43f4000a18""","{""type"":""Point"",""coordinates"":[0.019869804382324,51.4684388287161]}","""2016-10-03T15:45:32.07+00:00""","[""B.S"",""B.S""]"
"""57e512cd2c66dc43f4000a1c""","{""type"":""Point"",""coordinates"":[0.01723051071167,51.4695415898591]}","""2016-10-03T15:44:05.132+00:00""","[""B.S"",""B.S""]"
"""57e512d22c66dc43f4000a1e""","{""type"":""Point"",""coordinates"":[0.016018152236938,51.4692475228271]}","""2016-10-14T16:54:35.886+00:00""","[""B.Ss"",""B.S"",""BSs""]"
"""57e512d62c66dc43f4000a20""","{""type"":""Point"",""coordinates"":[0.013958215713501,51.4683719938508]}","""2016-10-03T15:44:43.715+00:00""","[""B.P"",""B.P""]"
"""57e512fb2c66dc43f4000a2c""","{""type"":""Point"",""coordinates"":[0.008604526519775,51.4683118423883]}","""2016-09-25T05:35:01.566+00:00""","[""G.P"",""G.P""]"
"""57e5130c2c66dc43f4000a2e""","{""type"":""Point"",""coordinates"":[0.008840560913086,51.4680177674302]}","""2016-09-25T05:35:14.152+00:00""","[""MONTPELIER ROW"",""MONTPELIER ROW""]"
"""57e5132d2c66dc43f4000a34""","{""type"":""Point"",""coordinates"":[0.016565322875977,51.4687529512716]}","""2016-10-03T15:44:57.474+00:00""","[""Lodges"",""Lodges""]"
"""57e513332c66dc43f4000a36""","{""type"":""Point"",""coordinates"":[0.014634132385254,51.4684655626348]}","""2016-10-03T15:44:19.861+00:00""","[""B.S"",""B.S""]"
"""57e5133f2c66dc43f4000a38""","{""type"":""Point"",""coordinates"":[0.019783973693848,51.4704237795832]}","""2016-09-26T16:18:47.567+00:00""","[""B.S"",""B.S.""]"
"""57e513492c66dc43f4000a3a""","{""type"":""Point"",""coordinates"":[0.020620822906494,51.4718071791193]}","""2016-09-26T16:19:07.857+00:00""","[""KIDBROOKE GROVE"",""KIDBROOKE GROVE""]"
"""57e513592c66dc43f4000a3c""","{""type"":""Point"",""coordinates"":[0.02373218536377,51.4705307105118]}","""2016-10-03T18:10:07.997+00:00""","[""KIDBROOKE PARK ROAD"",""Kidbrooke Park Road""]"
"""57e513702c66dc43f4000a3e""","{""type"":""Point"",""coordinates"":[0.026746988296509,51.4686460161763]}","""2016-10-03T15:46:26.425+00:00""","[""St. Nicholas' Church (Site of)"",""St Nicholas' Chuch"",""St Nicholas' Church (Site of)""]"
"""57e513752c66dc43f4000a40""","{""type"":""Point"",""coordinates"":[0.02795934677124,51.4676902726326]}","""2016-09-26T16:18:01.024+00:00""","[""B.S"",""B.S.""]"
"""57e5137a2c66dc43f4000a42""","{""type"":""Point"",""coordinates"":[0.02470850944519,51.4684856130635]}","""2016-10-03T15:46:09.588+00:00""","[""B.S"",""B.S""]"
"""57e513832c66dc43f4000a44""","{""type"":""Point"",""coordinates"":[0.030630826950073,51.4674162445671]}","""2016-09-26T16:17:31.138+00:00""","[""Manor Farm"",""Manor Farm""]"
"""57e513922c66dc43f4000a46""","{""type"":""Point"",""coordinates"":[0.028302669525146,51.4678573621088]}","""2016-10-03T15:46:47.55+00:00""","[""KIDBROOKE LANE"",""Kidbrooke Lane""]"
"""57e513db2c66dc43f4000a5d""","{""type"":""Point"",""coordinates"":[-0.002607107162476,51.4682516908465]}","""2016-09-25T05:32:54.758+00:00""","[""HADDO VILLAS"",""HADDO VILLAS""]"
"""57e513e92c66dc43f4000a5f""","{""type"":""Point"",""coordinates"":[-0.000236034393311,51.4687329009603]}","""2016-09-25T05:31:02.337+00:00""","[""ORCHARD ROAD"",""ORCHARD ROAD""]"
"""57e513f42c66dc43f4000a61""","{""type"":""Point"",""coordinates"":[-0.002081394195557,51.4719341557188]}","""2016-09-25T05:39:23.426+00:00""","[""B.S"",""B.S""]"
"""57e513fd2c66dc43f4000a63""","{""type"":""Point"",""coordinates"":[0.001705884933472,51.4717737641659]}","""2016-09-30T16:52:43.328+00:00""","[""B.Ss"",""B.Ss"",""B.S""]"
"""57e5140a2c66dc43f4000a65""","{""type"":""Point"",""coordinates"":[-0.00374436378479,51.4720678149154]}","""2016-10-03T15:42:27.468+00:00""","[""SHOOTERS HILL ROAD"",""SHOOTER'S HILL ROAD"",""Shooters Hill Road""]"
"""57e514182c66dc43f4000a69""","{""type"":""Point"",""coordinates"":[0.003969669342041,51.4731103432096]}","""2016-09-25T05:28:06.306+00:00""","[""CHARLTON ROAD"",""CHARLTON ROAD""]"
"""57e514232c66dc43f4000a6d""","{""type"":""Point"",""coordinates"":[0.00974178314209,51.4718940578834]}","""2016-09-25T05:31:39.481+00:00""","[""Rotten Row"",""Rotten Row""]"
"""57e5142f2c66dc43f4000a6f""","{""type"":""Point"",""coordinates"":[0.011951923370361,51.4737585699441]}","""2016-09-25T05:44:18.999+00:00""","[""VANBRUGH TERRACE"",""VANBRUGH TERRACE""]"
"""57e514392c66dc43f4000a73""","{""type"":""Point"",""coordinates"":[0.009387731552124,51.4762778791647]}","""2016-09-25T05:27:26.205+00:00""","[""F.P."",""F.P.""]"
