entryid,gridref,datestamp,transcription
57e5130c2c66dc43f4000a2e,SRID=4326;POINT(0.00884056091308594 51.4680177674302),2016-09-25 05:35:14.152+00,"{""MONTPELIER ROW"",""MONTPELIER ROW""}"
57e5132d2c66dc43f4000a34,SRID=4326;POINT(0.0165653228759766 51.4687529512716),2016-10-03 15:44:57.474+00,"{Lodges,Lodges}"
57e513332c66dc43f4000a36,SRID=4326;POINT(0.0146341323852539 51.4684655626348),2016-10-03 15:44:19.861+00,"{B.S,B.S}"
57e5133f2c66dc43f4000a38,SRID=4326;POINT(0.0197839736938477 51.4704237795832),2016-09-26 16:18:47.567+00,"{B.S,B.S.}"
57e513492c66dc43f4000a3a,SRID=4326;POINT(0.0206208229064941 51.4718071791193),2016-09-26 16:19:07.857+00,"{""KIDBROOKE GROVE"",""KIDBROOKE GROVE""}"
57e513592c66dc43f4000a3c,SRID=4326;POINT(0.0237321853637695 51.4705307105118),2016-10-03 18:10:07.997+00,"{""KIDBROOKE PARK ROAD"",""Kidbrooke Park Road""}"
57e513702c66dc43f4000a3e,SRID=4326;POINT(0.0267469882965088 51.4686460161763),2016-10-03 15:46:26.425+00,"{""St. Nicholas' Church (Site of)"",""St Nicholas' Chuch"",""St Nicholas' Church (Site of)""}"
57e513752c66dc43f4000a40,SRID=4326;POINT(0.0279593467712402 51.4676902726326),2016-09-26 16:18:01.024+00,"{B.S,B.S.}"
57e5137a2c66dc43f4000a42,SRID=4326;POINT(0.0247085094451904 51.4684856130635),2016-10-03 15:46:09.588+00,"{B.S,B.S}"
57e513832c66dc43f4000a44,SRID=4326;POINT(0.0306308269500732 51.4674162445671),2016-09-26 16:17:31.138+00,"{""Manor Farm"",""Manor Farm""}"
57e513922c66dc43f4000a46,SRID=4326;POINT(0.0283026695251465 51.4678573621088),2016-10-03 15:46:47.55+00,"{""KIDBROOKE LANE"",""Kidbrooke Lane""}"
57e513db2c66dc43f4000a5d,SRID=4326;POINT(-0.00260710716247559 51.4682516908465),2016-09-25 05:32:54.758+00,"{""HADDO VILLAS"",""HADDO VILLAS""}"
57e513e92c66dc43f4000a5f,SRID=4326;POINT(-0.000236034393310547 51.4687329009603),2016-09-25 05:31:02.337+00,"{""ORCHARD ROAD"",""ORCHARD ROAD""}"
57e513f42c66dc43f4000a61,SRID=4326;POINT(-0.00208139419555664 51.4719341557188),2016-09-25 05:39:23.426+00,"{B.S,B.S}"
57e513fd2c66dc43f4000a63,SRID=4326;POINT(0.00170588493347168 51.4717737641659),2016-09-30 16:52:43.328+00,"{B.Ss,B.Ss,B.S}"
57e5140a2c66dc43f4000a65,SRID=4326;POINT(-0.00374436378479004 51.4720678149154),2016-10-03 15:42:27.468+00,"{""SHOOTERS HILL ROAD"",""SHOOTER'S HILL ROAD"",""Shooters Hill Road""}"
57e514182c66dc43f4000a69,SRID=4326;POINT(0.00396966934204102 51.4731103432096),2016-09-25 05:28:06.306+00,"{""CHARLTON ROAD"",""CHARLTON ROAD""}"
57e514232c66dc43f4000a6d,SRID=4326;POINT(0.00974178314208984 51.4718940578834),2016-09-25 05:31:39.481+00,"{""Rotten Row"",""Rotten Row""}"
57e5142f2c66dc43f4000a6f,SRID=4326;POINT(0.0119519233703613 51.4737585699441),2016-09-25 05:44:18.999+00,"{""VANBRUGH TERRACE"",""VANBRUGH TERRACE""}"
57e514392c66dc43f4000a73,SRID=4326;POINT(0.00938773155212402 51.4762778791647),2016-09-25 05:27:26.205+00,"{F.P.,F.P.}"
57e514452c66dc43f4000a7b,SRID=4326;POINT(0.0190973281860352 51.4775608691131),2016-09-29 10:07:25.306+00,"{P.O.,P.O.}"
57e5144b2c66dc43f4000a7d,SRID=4326;POINT(0.019000768661499 51.4773604043125),2016-09-30 16:44:56.5+00,"{D.Fn,D.Fn}"
57e514532c66dc43f4000a7f,SRID=4326;POINT(0.0193977355957031 51.4776811475706),2016-09-26 16:35:03.668+00,"{""PARK VILLAS"",""PARK VILLAS""}"
57e5145c2c66dc43f4000a81,SRID=4326;POINT(0.0207817554473877 51.4780954376075),2016-09-25 23:21:18.119+00,"{""INVICTA ROAD"",""INVICTA ROAD""}"
57e514cb2c66dc43f4000a8d,SRID=4326;POINT(0.0403404235839844 51.4939291872808),2016-09-23 11:56:53.433+00,"{""Telegraph Works"",""Telegraph Works""}"
57e5178d2c66dc43f4000b01,SRID=4326;POINT(0.0465095043182373 51.4887253672969),2016-09-25 15:29:04.086+00,"{Church,Church}"
57e5180e2c66dc43f4000b1f,SRID=4326;POINT(0.0427865982055664 51.4900080070991),2016-11-04 15:54:37.098+00,"{""MARYON PARK"",""Cox's Mount"",""Maryon Park""}"
57e5185c2c66dc43f4000b3d,SRID=4326;POINT(0.0394928455352783 51.4897741952412),2016-09-25 15:30:32.197+00,"{Church,Church}"
57e518ed2c66dc43f4000b5d,SRID=4326;POINT(0.0402331352233887 51.4892063614514),2016-09-25 15:28:41.07+00,"{""Sand Pits"",""Sand Pits""}"
57e518fa2c66dc43f4000b5f,SRID=4326;POINT(0.0417244434356689 51.489620546796),2016-09-25 15:28:47.767+00,"{""ROMAN CAMP"",""Roman Camp""}"
57e519932c66dc43f4000b80,SRID=4326;POINT(0.0368642807006836 51.4873358001244),2016-09-23 14:39:07.898+00,"{""Old Chalk Pit"",""Old Chalk Pit""}"
57e519a82c66dc43f4000b82,SRID=4326;POINT(0.0346004962921143 51.487188824197),2016-09-23 14:39:47.003+00,"{""Disinfectant Works"",""Disinfectant Works""}"
57e519d92c66dc43f4000b8e,SRID=4326;POINT(0.0327551364898682 51.4838149283338),2016-09-23 14:41:51.989+00,"{""The Warren"",""The Warren""}"
57e519f32c66dc43f4000b90,SRID=4326;POINT(0.0392353534698486 51.4832403390135),2016-09-23 14:41:32.37+00,"{""Fair Field"",""Fair Field""}"
57e51aa22c66dc43f4000ba4,SRID=4326;POINT(0.038527250289917 51.4844229161265),2016-09-23 14:42:42.972+00,"{Church,Church}"
57e51ac62c66dc43f4000ba8,SRID=4326;POINT(0.0384950637817383 51.4841823944523),2016-09-23 14:42:37.562+00,"{Rec.,Rec.}"
57e51b262c66dc43f4000baa,SRID=4326;POINT(0.0345683097839355 51.4815900247778),2016-09-23 14:41:38.008+00,"{Church,Church}"
57e51b3e2c66dc43f4000bac,SRID=4326;POINT(0.0374436378479004 51.4807681861021),2016-09-23 14:42:14.803+00,"{""Charlton House"",""Charlton House""}"
57e51c2a2c66dc43f4000bcb,SRID=4326;POINT(0.0384306907653809 51.4813695329282),2016-09-23 14:42:08.163+00,"{""Drill Hall"",""Drill Hall""}"
57e51c362c66dc43f4000bcd,SRID=4326;POINT(0.038827657699585 51.4818906937638),2016-09-23 14:41:21.201+00,"{""Assembly Rooms"",""Assembly Rooms""}"
57e51c472c66dc43f4000bcf,SRID=4326;POINT(0.0358235836029053 51.4803739655466),2016-09-23 14:42:25.945+00,"{Lodge,Lodge}"
57e51c5f2c66dc43f4000bd1,SRID=4326;POINT(0.0337529182434082 51.4805009183008),2016-09-23 14:41:44.101+00,"{Springfield,Springfield}"
57e51c6e2c66dc43f4000bd4,SRID=4326;POINT(0.0409841537475586 51.4806545974779),2016-09-23 14:41:11.987+00,"{""Deer Park"",""Deer Park""}"
57e51c792c66dc43f4000bd6,SRID=4326;POINT(0.0396430492401123 51.4797926510527),2016-09-23 14:42:20.808+00,"{""Charlton Park"",""Charlton Park""}"
57e51c862c66dc43f4000bd8,SRID=4326;POINT(0.046466588973999 51.4807280960317),2016-09-23 14:40:58.921+00,"{""Cricket Ground"",""Cricket Ground""}"
57e51c8d2c66dc43f4000bda,SRID=4326;POINT(0.0467240810394287 51.48116240325),2016-09-23 14:41:05.603+00,"{Lodge,Lodge}"
57e51c972c66dc43f4000bdc,SRID=4326;POINT(0.0480437278747559 51.4813628513404),2016-09-25 15:29:38.196+00,"{CEMETERY,Cemetery}"
57e51ca92c66dc43f4000bde,SRID=4326;POINT(0.0486874580383301 51.4810688605063),2016-09-25 15:29:53.625+00,"{""Mortuary Chapels"",""Mortuary Chapels""}"
57e51cd92c66dc43f4000be4,SRID=4326;POINT(0.05118727684021 51.4806412340918),2016-09-25 15:29:44.008+00,"{School,School}"
57e51cf02c66dc43f4000bed,SRID=4326;POINT(0.049513578414917 51.4829864484029),2016-09-25 23:21:48.757+00,"{""Royal Military Repository"",""Royal Military Depository"",""ROYAL MILITARY REPOSITORY""}"
57e51d162c66dc43f4000bf9,SRID=4326;POINT(0.0515627861022949 51.4844496406786),2016-09-25 15:29:28.298+00,"{Rotunda,Rotunda}"
57e51d282c66dc43f4000bff,SRID=4326;POINT(0.054706335067749 51.4837080285433),2016-09-25 15:29:22.957+00,"{""Magnetic Office"",""Magnetic Office""}"
57e51d3d2c66dc43f4000c01,SRID=4326;POINT(0.0567233562469482 51.4851244304299),2016-09-25 15:29:15.849+00,"{""GUN PARK"",""Gun Park""}"
57e51d452c66dc43f4000c03,SRID=4326;POINT(0.0557684898376465 51.4862668734818),2016-09-25 15:29:09.656+00,"{""Gun Shed"",""Gun Shed""}"
57e525842c66dc43f4000dad,SRID=4326;POINT(0.0477540493011475 51.4854918859961),2016-09-23 14:40:34.771+00,"{Nursery,Nursery}"
